,"New label","Old label"
"32","No Phd","phd: Ingen phd"
"33","Phd","phd: Phd"
"34","Education: Ma. Business School","education: Cand. Merc"
"35","Education: MSc in Economics","education: Cand. Oecon AAU+SDU"
"36","Education: MSc in Economics from Copenhagen","education: Cand. polit. fra KU"
"37","Education: Engineer","education: Civilingeniør"
"38","Education: Trainee","education: Elevuddannelse"
"39","Education: Vocational","education: Faglært"
"40","Education: Bsc. Business School","education: HA"
"41","Education: Natural Sciences","education: Naturvidenskab"
"42","Education: Law and Social Science","education: Samfundsvidenskab og jura"
